epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
307,-387,-387,-387,-356,-356,-356
308,-437.7,-437.7,-437.7,-360.8,-360.8,-360.8
309,-385.5,-385.5,-385.5,-383.4,-383.4,-383.4
310,-394.8,-394.8,-394.8,-380.6,-380.6,-380.6
311,-373.9,-373.9,-373.9,-373.2,-373.2,-373.2
312,-380.3,-380.3,-380.3,-342.5,-342.5,-342.5
313,-389,-389,-389,-364.4,-364.4,-364.4
314,-426.8,-426.8,-426.8,-322.6,-322.6,-322.6
315,-368,-368,-368,-335.4,-335.4,-335.4
316,-394.6,-394.6,-394.6,-366.8,-366.8,-366.8
317,-490.1,-490.1,-490.1,-402.7,-402.7,-402.7
318,-374.9,-374.9,-374.9,-344.4,-344.4,-344.4
319,-364.6,-364.6,-364.6,-334.3,-334.3,-334.3
320,-374,-374,-374,-351.3,-351.3,-351.3
321,-381.2,-381.2,-381.2,-308,-308,-308
322,-415.8,-415.8,-415.8,-348.8,-348.8,-348.8
323,-406.1,-406.1,-406.1,-308.6,-308.6,-308.6
324,-416.9,-416.9,-416.9,-308.9,-308.9,-308.9
325,-446.7,-446.7,-446.7,-396,-396,-396
326,-355.2,-355.2,-355.2,-358.7,-358.7,-358.7
327,-382.5,-382.5,-382.5,-412.1,-412.1,-412.1
328,-385.2,-385.2,-385.2,-317,-317,-317
329,-375.2,-375.2,-375.2,-353.6,-353.6,-353.6
330,-373.8,-373.8,-373.8,-391.8,-391.8,-391.8
331,-464.1,-464.1,-464.1,-386.6,-386.6,-386.6
332,-420,-420,-420,-352.6,-352.6,-352.6
333,-421.2,-421.2,-421.2,-363.4,-363.4,-363.4
334,-389.1,-389.1,-389.1,-390.6,-390.6,-390.6
335,-371.8,-371.8,-371.8,-357.9,-357.9,-357.9
336,-367.4,-367.4,-367.4,-354.4,-354.4,-354.4
337,-369.5,-369.5,-369.5,-371.3,-371.3,-371.3
338,-372,-372,-372,-348.7,-348.7,-348.7
339,-438.3,-438.3,-438.3,-329.9,-329.9,-329.9
340,-402.4,-402.4,-402.4,-357.4,-357.4,-357.4
341,-419.9,-419.9,-419.9,-362.7,-362.7,-362.7
342,-387.9,-387.9,-387.9,-371.8,-371.8,-371.8
343,-347.3,-347.3,-347.3,-371.8,-371.8,-371.8
344,-381.5,-381.5,-381.5,-328.3,-328.3,-328.3
345,-327.6,-327.6,-327.6,-325.5,-325.5,-325.5
346,-369.9,-369.9,-369.9,-350.6,-350.6,-350.6
347,-408.1,-408.1,-408.1,-385.5,-385.5,-385.5
348,-356.8,-356.8,-356.8,-350.4,-350.4,-350.4
349,-336.2,-336.2,-336.2,-330.4,-330.4,-330.4
350,-398.9,-398.9,-398.9,-325.1,-325.1,-325.1
351,-397.1,-397.1,-397.1,-367.6,-367.6,-367.6
