"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"184","-649.3","-649.3","-649.3","-695.6","-695.6","-695.6"
"185","-764.7","-764.7","-764.7","-786.8","-786.8","-786.8"
"186","-711.6","-711.6","-711.6","-636.5","-636.5","-636.5"
"187","-630.8","-630.8","-630.8","-578.1","-578.1","-578.1"
"188","-675.7","-675.7","-675.7","-690.1","-690.1","-690.1"
"189","-674.7","-674.7","-674.7","-722.1","-722.1","-722.1"
"190","-651.7","-651.7","-651.7","-644.2","-644.2","-644.2"
"191","-733.2","-733.2","-733.2","-774.4","-774.4","-774.4"
"192","-701.6","-701.6","-701.6","-645.1","-645.1","-645.1"
"193","-587.3","-587.3","-587.3","-722.9","-722.9","-722.9"
"194","-700.9","-700.9","-700.9","-644.4","-644.4","-644.4"
"195","-742.1","-742.1","-742.1","-666.1","-666.1","-666.1"
"196","-635.4","-635.4","-635.4","-571.8","-571.8","-571.8"
"197","-615.5","-615.5","-615.5","-720.7","-720.7","-720.7"
"198","-621.9","-621.9","-621.9","-643.8","-643.8","-643.8"
"199","-668.1","-668.1","-668.1","-660.2","-660.2","-660.2"
"200","-692.4","-692.4","-692.4","-778.7","-778.7","-778.7"
"201","-634.7","-634.7","-634.7","-585.3","-585.3","-585.3"
"202","-566.2","-566.2","-566.2","-704.5","-704.5","-704.5"
"203","-665.9","-665.9","-665.9","-724.1","-724.1","-724.1"
"204","-673.5","-673.5","-673.5","-702.9","-702.9","-702.9"
