epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
251,-420.5,-420.5,-420.5,-508.5,-508.5,-508.5
252,-485,-485,-485,-500,-500,-500
253,-536,-536,-536,-400.5,-400.5,-400.5
254,-418,-418,-418,-420.5,-420.5,-420.5
255,-462.5,-462.5,-462.5,-458,-458,-458
256,-448.5,-448.5,-448.5,-487.5,-487.5,-487.5
257,-746.5,-746.5,-746.5,-674.5,-674.5,-674.5
258,-543,-543,-543,-516,-516,-516
259,-480,-480,-480,-554.5,-554.5,-554.5
260,-295.5,-295.5,-295.5,-587.5,-587.5,-587.5
261,-452.5,-452.5,-452.5,-564.5,-564.5,-564.5
262,-454.5,-454.5,-454.5,-467.5,-467.5,-467.5
263,-456.5,-456.5,-456.5,-453.5,-453.5,-453.5
264,-439,-439,-439,-485,-485,-485
265,-475,-475,-475,-444.5,-444.5,-444.5
266,-545,-545,-545,-398.5,-398.5,-398.5
267,-339,-339,-339,-506,-506,-506
268,-569,-569,-569,-549.5,-549.5,-549.5
269,-313.5,-313.5,-313.5,-667,-667,-667
270,-452.5,-452.5,-452.5,-492,-492,-492
271,-429,-429,-429,-440,-440,-440
272,-636.5,-636.5,-636.5,-503,-503,-503
273,-464.5,-464.5,-464.5,-412.5,-412.5,-412.5
274,-439,-439,-439,-560.5,-560.5,-560.5
275,-480,-480,-480,-392.5,-392.5,-392.5
276,-463,-463,-463,-600.5,-600.5,-600.5
277,-550.5,-550.5,-550.5,-444,-444,-444
278,-553.5,-553.5,-553.5,-487,-487,-487
279,-569.5,-569.5,-569.5,-524.5,-524.5,-524.5
280,-513.5,-513.5,-513.5,-479.5,-479.5,-479.5
281,-317.5,-317.5,-317.5,-350.5,-350.5,-350.5
282,-540.5,-540.5,-540.5,-459.5,-459.5,-459.5
283,-486.5,-486.5,-486.5,-542.5,-542.5,-542.5
284,-450,-450,-450,-653.5,-653.5,-653.5
285,-498,-498,-498,-576.5,-576.5,-576.5
286,-430.5,-430.5,-430.5,-406,-406,-406
287,-489.5,-489.5,-489.5,-491.5,-491.5,-491.5
288,-477.5,-477.5,-477.5,-401.5,-401.5,-401.5
289,-445.5,-445.5,-445.5,-461,-461,-461
290,-501.5,-501.5,-501.5,-467.5,-467.5,-467.5
291,-444,-444,-444,-446.5,-446.5,-446.5
292,-537.5,-537.5,-537.5,-507,-507,-507
293,-492,-492,-492,-457,-457,-457
294,-409,-409,-409,-532,-532,-532
