epoch,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX
79,229.1052632,229.1052632,229.1052632,172.3684211,172.3684211,172.3684211,149.4736842,149.4736842,149.4736842,63.57894737,63.57894737,63.57894737,133.9473684,133.9473684,133.9473684,284.1052632,284.1052632,284.1052632
80,159.3157895,159.3157895,159.3157895,188.4736842,188.4736842,188.4736842,163.7368421,163.7368421,163.7368421,59.73684211,59.73684211,59.73684211,187,187,187,225.1052632,225.1052632,225.1052632
81,96.84210526,96.84210526,96.84210526,225.5789474,225.5789474,225.5789474,152.2105263,152.2105263,152.2105263,59.94736842,59.94736842,59.94736842,157.1578947,157.1578947,157.1578947,297.4210526,297.4210526,297.4210526
82,191,191,191,222,222,222,200.6315789,200.6315789,200.6315789,103.6842105,103.6842105,103.6842105,134.7368421,134.7368421,134.7368421,258.6315789,258.6315789,258.6315789
83,149.5263158,149.5263158,149.5263158,199.1052632,199.1052632,199.1052632,180.8421053,180.8421053,180.8421053,67.57894737,67.57894737,67.57894737,106.5263158,106.5263158,106.5263158,299.0526316,299.0526316,299.0526316
84,187,187,187,202.2105263,202.2105263,202.2105263,119.5263158,119.5263158,119.5263158,48,48,48,132.2631579,132.2631579,132.2631579,224.5789474,224.5789474,224.5789474
85,180.5263158,180.5263158,180.5263158,291.2631579,291.2631579,291.2631579,151.6315789,151.6315789,151.6315789,54.68421053,54.68421053,54.68421053,120.5789474,120.5789474,120.5789474,251.6315789,251.6315789,251.6315789
86,172.9473684,172.9473684,172.9473684,220.6315789,220.6315789,220.6315789,152.5789474,152.5789474,152.5789474,51.10526316,51.10526316,51.10526316,149.1578947,149.1578947,149.1578947,214.9473684,214.9473684,214.9473684
87,161.7368421,161.7368421,161.7368421,269.7894737,269.7894737,269.7894737,118.9473684,118.9473684,118.9473684,48.10526316,48.10526316,48.10526316,154,154,154,185.8421053,185.8421053,185.8421053
88,169.9473684,169.9473684,169.9473684,243.9473684,243.9473684,243.9473684,128.7368421,128.7368421,128.7368421,61.26315789,61.26315789,61.26315789,128.8421053,128.8421053,128.8421053,195.5789474,195.5789474,195.5789474
