epoch,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX
87,101.4736842,101.4736842,101.4736842,82.78947368,82.78947368,82.78947368,87.31578947,87.31578947,87.31578947,35.42105263,35.42105263,35.42105263,115.4210526,115.4210526,115.4210526,54.52631579,54.52631579,54.52631579
88,53.52631579,53.52631579,53.52631579,102.6842105,102.6842105,102.6842105,102.5789474,102.5789474,102.5789474,59,59,59,139.3684211,139.3684211,139.3684211,65.26315789,65.26315789,65.26315789
89,60.36842105,60.36842105,60.36842105,80.36842105,80.36842105,80.36842105,115,115,115,86.36842105,86.36842105,86.36842105,140.8947368,140.8947368,140.8947368,78.78947368,78.78947368,78.78947368
90,60.31578947,60.31578947,60.31578947,52.42105263,52.42105263,52.42105263,110.0526316,110.0526316,110.0526316,90.42105263,90.42105263,90.42105263,136.3157895,136.3157895,136.3157895,90.94736842,90.94736842,90.94736842
91,58.89473684,58.89473684,58.89473684,114,114,114,133.7894737,133.7894737,133.7894737,54.73684211,54.73684211,54.73684211,172.8421053,172.8421053,172.8421053,49.57894737,49.57894737,49.57894737
92,51.21052632,51.21052632,51.21052632,89.05263158,89.05263158,89.05263158,111.4736842,111.4736842,111.4736842,67.94736842,67.94736842,67.94736842,106.3157895,106.3157895,106.3157895,69.36842105,69.36842105,69.36842105
93,47.15789474,47.15789474,47.15789474,75.42105263,75.42105263,75.42105263,101.5263158,101.5263158,101.5263158,59.21052632,59.21052632,59.21052632,116.3684211,116.3684211,116.3684211,50.36842105,50.36842105,50.36842105
94,49.73684211,49.73684211,49.73684211,75.10526316,75.10526316,75.10526316,78.36842105,78.36842105,78.36842105,84.68421053,84.68421053,84.68421053,159.1052632,159.1052632,159.1052632,46.78947368,46.78947368,46.78947368
95,50.31578947,50.31578947,50.31578947,57.15789474,57.15789474,57.15789474,93.78947368,93.78947368,93.78947368,98.57894737,98.57894737,98.57894737,166.8421053,166.8421053,166.8421053,55.42105263,55.42105263,55.42105263
96,68.94736842,68.94736842,68.94736842,46.21052632,46.21052632,46.21052632,127.3684211,127.3684211,127.3684211,63.36842105,63.36842105,63.36842105,165.3684211,165.3684211,165.3684211,62.89473684,62.89473684,62.89473684
