epoch,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
92,-510.1,-510.1,-510.1,-495.3,-495.3,-495.3,-528.2,-528.2,-528.2,-510.1,-510.1,-510.1,-531.5,-531.5,-531.5,-462.1,-462.1,-462.1
93,-448.9,-448.9,-448.9,-482.5,-482.5,-482.5,-471,-471,-471,-481.4,-481.4,-481.4,-597,-597,-597,-462,-462,-462
94,-391.8,-391.8,-391.8,-531,-531,-531,-480.4,-480.4,-480.4,-465.9,-465.9,-465.9,-518.8,-518.8,-518.8,-481.2,-481.2,-481.2
95,-441.2,-441.2,-441.2,-544.5,-544.5,-544.5,-542.5,-542.5,-542.5,-426.1,-426.1,-426.1,-578.3,-578.3,-578.3,-408.3,-408.3,-408.3
96,-454.2,-454.2,-454.2,-502.6,-502.6,-502.6,-528.1,-528.1,-528.1,-465.1,-465.1,-465.1,-580.3,-580.3,-580.3,-459.1,-459.1,-459.1
97,-501.2,-501.2,-501.2,-481,-481,-481,-557.7,-557.7,-557.7,-526,-526,-526,-557.2,-557.2,-557.2,-456,-456,-456
98,-437,-437,-437,-466.4,-466.4,-466.4,-543.4,-543.4,-543.4,-425,-425,-425,-527.7,-527.7,-527.7,-496.2,-496.2,-496.2
99,-485.9,-485.9,-485.9,-569,-569,-569,-538.2,-538.2,-538.2,-413.8,-413.8,-413.8,-604.4,-604.4,-604.4,-416.2,-416.2,-416.2
100,-394.2,-394.2,-394.2,-550.9,-550.9,-550.9,-480.4,-480.4,-480.4,-545.4,-545.4,-545.4,-522.6,-522.6,-522.6,-520.7,-520.7,-520.7
101,-473.4,-473.4,-473.4,-539.7,-539.7,-539.7,-601.4,-601.4,-601.4,-509.3,-509.3,-509.3,-560.2,-560.2,-560.2,-411.8,-411.8,-411.8
102,-475.1,-475.1,-475.1,-571.6,-571.6,-571.6,-480,-480,-480,-432.1,-432.1,-432.1,-502.1,-502.1,-502.1,-394.5,-394.5,-394.5
103,-543.9,-543.9,-543.9,-600.3,-600.3,-600.3,-647.5,-647.5,-647.5,-455.9,-455.9,-455.9,-500.2,-500.2,-500.2,-450.9,-450.9,-450.9
104,-457.5,-457.5,-457.5,-501.4,-501.4,-501.4,-513.6,-513.6,-513.6,-523.8,-523.8,-523.8,-535.1,-535.1,-535.1,-452.1,-452.1,-452.1
105,-428.6,-428.6,-428.6,-497.5,-497.5,-497.5,-538.8,-538.8,-538.8,-399.2,-399.2,-399.2,-559.9,-559.9,-559.9,-463,-463,-463
106,-462.2,-462.2,-462.2,-550,-550,-550,-413.7,-413.7,-413.7,-456.9,-456.9,-456.9,-502.6,-502.6,-502.6,-453.6,-453.6,-453.6
107,-428.5,-428.5,-428.5,-578,-578,-578,-572.9,-572.9,-572.9,-423.6,-423.6,-423.6,-479.2,-479.2,-479.2,-413,-413,-413
108,-437.4,-437.4,-437.4,-516.1,-516.1,-516.1,-577.5,-577.5,-577.5,-545.5,-545.5,-545.5,-511.6,-511.6,-511.6,-428.5,-428.5,-428.5
109,-461.5,-461.5,-461.5,-572.9,-572.9,-572.9,-524.8,-524.8,-524.8,-536.5,-536.5,-536.5,-459,-459,-459,-401.8,-401.8,-401.8
110,-468.4,-468.4,-468.4,-529.3,-529.3,-529.3,-495.8,-495.8,-495.8,-475.4,-475.4,-475.4,-554,-554,-554,-430.8,-430.8,-430.8
111,-454.9,-454.9,-454.9,-483.7,-483.7,-483.7,-538.9,-538.9,-538.9,-417.1,-417.1,-417.1,-595.5,-595.5,-595.5,-436.4,-436.4,-436.4
